Post title,Post link,Created date,Impressions,Views,Click through rate (CTR),Engagement rate,Count
"Virginia Energy set the tone for the 2025 Virginia Solar Summit with a simple message for solar industry partners: by choosing Virginia for your investments, you're placing projects in America's most business-friendly environment with ready access to both capital and customers hungry for clean energy solutions.

Deputy Director Julianne Szyper kicked things off with opening remarks on Virginia's unprecedented energy growth and the need for innovative solutions.

Director Glenn Davis spoke on the merits of leveraging solar and nuclear as part of an all-of-the-above strategy on a panel discussion alongside Benjamin Byboth (Commonwealth Fusion Systems), Todd Flowers (Dominion Energy), and April Wade (Virginia Nuclear Energy Consortium).

Virginia Clean Energy Innovation Bank Director Simon Glossop joined Dan French (Virginia Solar Summit), Braden Croy (Dominion Energy Innovation Center), and Tom Hucker (U.S. DOE Loan Programs Office (LPO)), and Greg Wolfson (Nevados) for a deep dive on driving and financing the future of clean energy technologies.

Virginia Energy Program Manager Aaron Berryhill provided critical insights on state policy successes and challenges alongside Dan French, Josephus Allmond (Southern Environmental Law Center), Peter Anderson (Appalachian Voices), Diane Cherry (MAREC Action), Robin Dutta (Chesapeake Solar & Storage Association), and Trieste L. (Lockwood Strategies).

Virginia Energy's $156 million Solar For All program was also in the spotlight, thanks to engaging presentation by our very own Callie Houghland.

Special thank you to our co-hosts the American Solar Grazing Association (ASGA) Society, Solar Farm Summit, and Dan French for another successful and engaging summit! See you next year!",https://www.linkedin.com/feed/update/urn:li:activity:7323688819055108097,05/01/2025,1614,,16.5%,20.8%,1
"Virginia's growing nuclear infrastructure will create diverse employment opportunities for Virginians. Investments from Amazon, Dominion, and the US Navy in our state's nuclear future brighten job prospects for mechanics, engineers, scientists, trade workers, and more!",https://www.linkedin.com/feed/update/urn:li:activity:7295902837178355712,02/13/2025,1200,,16.5%,20.1%,1
"Virginia Energy and Google  co-hosted the Virginia Grid Innovation Summit this week, where Glenn Youngkin and Director Glenn Davis  joined industry leaders to discuss an all-of-the-above approach to meeting Virginia's unprecedented 7% annual growth in energy demand.",https://www.linkedin.com/feed/update/urn:li:activity:7262537714946789376,11/13/2024,3735,,16.3%,19.9%,1
"Virginia Energy is helping shape the future of infrastructure, land use, and energy in the Commonwealth. This week, our experts joined industry leaders to share how we’re streamlining development, advancing data tools, and supporting reliable, affordable, and increasingly clean energy solutions at the Virginia Military Institute Center for Leadership and Ethics’ Environment Virginia Symposium in #Lynchburg. 

Director Glenn Davis and Deputy Director Julianne Szyper joined Alison Kaufmann and Katharine Bond for an engaging discussion on balancing growth, sustainability, and innovation as we navigate Virginia’s energy future. 

Director Davis also spoke on the importance of data centers in Virginia and the critical need for reliable baseload power to meet growing demand in a “Perspectives on Data Centers” panel alongside Julie Bolthouse, John Larson, Kate Smiley, and Brian George. 

State Geologist and Director of Geology and Mineral Resources Matt Heller joined Danielle S. and Stu Blankenship to showcase how Virginia's innovative geospatial tools are improving environmental monitoring, infrastructure planning, and water resource management across the Commonwealth. 
",https://www.linkedin.com/feed/update/urn:li:activity:7316188146797350912,04/10/2025,1523,,15.5%,19.4%,1
"The leadership and staff at the Virginia Department of Energy extend our heartfelt condolences to those affected by the recent storm. In response to this disaster, we’ve been actively supporting first responders and emergency management teams with critical aerial surveillance and damage assessments. After a request from the Virginia Emergency Operations Center, our FAA-certified drone pilots were deployed to assist Appalachian Power in identifying downed utility lines. Their efforts enabled crews to quickly restore power to over 600 customers by Sunday night. Virginia Energy remains committed to aiding recovery efforts across the region. Find resources and assistance here: https://ow.ly/wV8W50TzprH. 

Photo Credit: Christian Martinez, Office of Governor Glenn Youngkin.",https://www.linkedin.com/feed/update/urn:li:activity:7246617403860598784,09/30/2024,998,,15.7%,19.1%,1
"Virginia is ensuring federal mine reclamation funds stay in the Commonwealth, supporting land restoration, economic development, and community revitalization efforts. Governor Glenn Youngkin has signed HB1948/SB929, creating the Abandoned Mine Land Grant Retention Fund to guarantee these funds are used as intended—turning former mine sites into new opportunities and improving communities across Southwest Virginia.
Learn more about Virginia Energy's Abandoned Mine Land initiatives at https://ow.ly/PznU50VmqEO

",https://www.linkedin.com/feed/update/urn:li:activity:7309907190020988929,03/24/2025,346,,11.8%,19.1%,1
"Virginia Energy took the stage at Energy Tech Virginia last week, sharing insights on fusion energy, reliability, and the Virginia Clean Energy Innovation Bank with the industry leaders and entrepreneurs driving the future of energy. As Virginia continues to build a reliable and resilient grid, we’re proud to support Virginia’s energy innovators in strengthening our economy, creating jobs, and securing our energy future. #EnergyTech2025 #EnergyTech",https://www.linkedin.com/feed/update/urn:li:activity:7306343833561124864,03/14/2025,986,,15.6%,18.7%,1
"Virginia is taking bold steps to turn abandoned mine lands into economic opportunities with $11 million in AMLER funding announced this week by Governor Glenn Youngkin and Congressman Morgan Griffith. Virginia Energy's AMLER program has already turned former mine sites into industrial parks, clean energy projects, and tourism hubs—creating jobs, improving public safety, and strengthening communities.

Applications are now open! View the press release for additional details: https://lnkd.in/eZ3CTUr8",https://www.linkedin.com/feed/update/urn:li:activity:7308819751722471425,03/20/2025,600,,11.7%,17.2%,1
"Virginia Energy is investing $1.3 million to help prepare the next generation for high-demand energy careers, offering paid training, industry credentials, and real-world experience for ages 14–25. Programs that support rural and underserved communities are especially encouraged to apply by September 26, 2025.

#workforcedevelopment #STEM #stemeducation",https://www.linkedin.com/feed/update/urn:li:activity:7360731729340317696,08/11/2025,1595,,13.1%,17.1%,1
"A state-of-the-art Small Modular Reactor (SMR) Control Room Simulator is coming to George Mason University’s Arlington campus, ensuring Virginia’s workforce is ready to meet rising energy demands. Developed by NuScale Power and funded through the Virginia Clean Energy Innovation Bank, this cutting-edge tool will train the next generation of nuclear professionals as Virginia continues to lead the nation in innovative energy solutions. #Nuclear #Energy #Innovation

Read the full release: https://ow.ly/qS7U50VlJWV

Learn more about the Virginia Clean Energy Innovation Bank: https://ow.ly/U9t950VlJWQ ",https://www.linkedin.com/feed/update/urn:li:activity:7308563646295474178,03/20/2025,397,,6.0%,16.4%,1
"The Virginia Clean Energy Innovation Bank (VCEIB) is advancing Virginia's hydrogen ecosystem by connecting Independence Hydrogen, the state's sole clean hydrogen producer, with potential customers for its innovative energy technology, piloted in #PetersburgVA. Independence Hydrogen captures waste gas from a bleach manufacturing plant and converts it into a valuable clean energy resource, unlocking new economic opportunities from previously unused materials.

Edward Cronin Rabita Banee, MPA, Ph.D. Pavan Chaitanya  Zoe York Jonika Rathi Ashish Sedai, Ph.D.

Learn more about VCEIB's innovative solutions to clean energy financing at https://ow.ly/OOM050VCosJ",https://www.linkedin.com/feed/update/urn:li:activity:7318996770993168384,04/18/2025,1390,,12.4%,16.3%,1
"Tiny castles and buried treasures - mining makes these moments possible. Minerals mined throughout Virginia are critical to manufacturing processes across the globe, as well as playtime at home. Next time you see little hands shaping their own miniature worlds, remember the unseen connection between our natural resources and a child's imagination.

#ifitsnotgrownitsmined #criticalminerals #mineralmining

Learn more about Virginia's rich geology at 
https://lnkd.in/eZd8mzjg",https://www.linkedin.com/feed/update/urn:li:activity:7313977467742932993,04/04/2025,268,,9.7%,16.0%,1
"??ATTENTION, CLEAN ENERYGY INNOVATORS!??The Virginia Clean Energy Innovation Bank is removing financing barriers to help you bring innovative technologies to market. We're combining public and private capital to invest  in advanced nuclear, carbon capture, hydrogen, renewables, and beyond. Join us in building a resalable and increasingly clean grid while strengthening Virginia's role as a clean energy leader. 

Learn more at: https://lnkd.in/eKtv2Axg
",https://www.linkedin.com/feed/update/urn:li:activity:7311356424071098368,03/28/2025,520,437,8.8%,16.0%,1
"Flour-dusted counters, secret family recipes, and a quick selfie break - mining makes these moments possible. Minerals mined throughout Virginia are critical to manufacturing processes across the globe, as well as cherished traditions at home. Next time you're mixing memories and cookie dough with loved ones, remember the unseen connection between our natural resources and life's sweetest moments.

#ifitsnotgrownitsmined #criticalminerals #mineralmining

Learn more about Virginia's rich geology at
https://lnkd.in/eZd8mzjg
",https://www.linkedin.com/feed/update/urn:li:activity:7314980619162193922,04/07/2025,251,,10.4%,15.9%,1
"Virginia Energy is working to build the strategic regional partnerships required to strengthen our nuclear infrastructure. Deputy Director Julianne Szyper joined the Atlantic Council's Atoms for Appalachia event this week, speaking on a panel with Jason El Koubi (Virginia Economic Development Partnership) and Megan Lucas, CCE,CEcD, IOM (CEO, Lynchburg Regional Business Alliance) where she updated attendees on the current state of energy in the Commonwealth and the challenges of meeting growing demand. Julianne also moderated a panel on strengthening the nuclear supply chain with Lukas Brun (E4 Carolinas), Erik Cothron (Nuclear Innovation Alliance), Zach McDaniel  (Framatome), and Erik Nygaard (BWX Technologies, Inc.).

The event showcased the power of collaboration across industry, policy, and regional leadership. It was wonderful to connect with longtime champions of nuclear innovation like Joyce Connery, former Chair of the Defense Nuclear Facilities Safety Board, and Jeff Whitt, the new Chair of the Virginia Innovation Nuclear (VIN) Hub.

From workforce to advanced manufacturing, Virginia Energy is proud to stand alongside these champions of innovation in the conversation shaping the next chapter of American nuclear leadership.
#AtomsForAppalachia #NuclearEnergy #NuclearPower #SupplyChain",https://www.linkedin.com/feed/update/urn:li:activity:7319359139950850048,04/17/2025,1970,,12.3%,15.8%,1
"Virginia is growing, and so is Virginia Energy! Programs like Virginia Energy 101 help new employees connect with our mission, build knowledge, and strengthen teamwork as we work together to better Virginia’s future.

Interested in joining us? Explore opportunities to be part of our growing team: https://lnkd.in/ddCbepUg",https://www.linkedin.com/feed/update/urn:li:activity:7242986198648901632,09/20/2024,996,,13.0%,15.8%,1
"Virginia is working to double power generation in the next decade by investing in #nuclear and #fusion and embracing next-gen #naturalgas. Virginia Energy Director Glenn Davis sat down with the America First Energy Podcast (Energy Right) to discuss the Commonwealth's bold approach and to meeting skyrocketing energy demand and our position as the nation's leader in innovation.

https://lnkd.in/ecXQacr5",https://www.linkedin.com/feed/update/urn:li:activity:7310994009538068481,03/26/2025,333,,10.2%,15.6%,1
Over 100 ninth-grade students show up at Virginia Energy's #ArborDay celebration to help transform a former mining property by planting over 750 trees as part of the Commonwealth's ongoing commitment to revitalize coal communities through environmental stewardship and economic development.,https://www.linkedin.com/feed/update/urn:li:activity:7323790889120657408,05/01/2025,442,,12.2%,15.6%,1
"Through permit review, water quality monitoring, and technical support, our Water Quality Team plays a vital role in land reclamation and environmental stewardship—ensuring cleaner water and stronger communities across Virginia. This World Water Day, we’re proud to highlight their work protecting and restoring waterways throughout the Commonwealth.

 #WorldWaterDay ",https://www.linkedin.com/feed/update/urn:li:activity:7309182351463309312,03/22/2025,123,,7.3%,15.4%,1
"Virginia Energy's Deputy Director, Julianne Szyper, recently participated in a dynamic panel exploring Virginia Energy Perspectives and their vital role in driving the state’s economic development. Joined by Paige Fox of Virginia Beach Economic Development and Greg Kozera from Shale Crescent USA, the discussion highlighted opportunities for energy innovation, job creation, and regional growth.

The panel emphasized how Virginia’s evolving energy landscape is shaping new industries and attracting investments, reinforcing the state’s foundational energy sources—nuclear and natural gas—and its position as a leader in economic progress and energy advancement. We’re proud to contribute to conversations that fuel Virginia’s sustainable and prosperous future.",https://www.linkedin.com/feed/update/urn:li:activity:7345444813783097344,06/30/2025,831,,11.1%,15.2%,1
"Building an increasingly clean future begins with educating the leaders of tomorrow. Students at Rye Cove Intermediate School had an incredible opportunity to learn about mining and environmental stewardship with Virginia Energy experts last week. At the school's Heritage Day event, 5th-7th graders explored surface mine reclamation, tested water quality alongside our inspectors, and tried on underground mining gear.",https://www.linkedin.com/feed/update/urn:li:activity:7255307470288441346,10/24/2024,476,,11.6%,14.3%,1
"Virginia Energy geologists like Katie Lang and Jenny Meng help protect our communities by providing environmental consultants and scientists with critical information on groundwater location, mineral resource assessments, and geologic hazards. 

Explore more from our geology team at: https://ow.ly/125p50Vm9GS",https://www.linkedin.com/feed/update/urn:li:activity:7310300747747737601,03/25/2025,377,,5.3%,13.0%,1
"When energy demand surges, natural gas is the source that can respond fastest to keep power flowing. As Virginia’s energy needs grow, natural gas remains essential to maintaining a reliable, responsive grid that delivers power when we need it most.",https://www.linkedin.com/feed/update/urn:li:activity:7312186926084608000,03/30/2025,410,272,8.5%,12.9%,1
"??ATTENTION, CLEAN ENERYGY INNOVATORS!??The Virginia Clean Energy Innovation Bank is removing financing barriers to help you bring innovative technologies to market. We're combining public and private capital to invest  in advanced nuclear, carbon capture, hydrogen, renewables, and beyond. Join us in building a resalable and increasingly clean grid while strengthening Virginia's role as a clean energy leader. 

Learn more at: https://lnkd.in/eKtv2Axg",https://www.linkedin.com/feed/update/urn:li:activity:7304833473972699138,03/10/2025,651,353,8.9%,12.7%,1
"Electricity markets are not structured the same way in every state.

In regulated states, a vertically integrated, monopoly utility serves all customers in its territory, with generation, transmission, and distribution overseen by state regulators. Rates, resources, and project funding move through the state’s public utility commission to balance affordability, reliability, and policy goals.

In deregulated states, multiple suppliers compete to sell generation while the regulated utility maintains the wires. Prices for supply are set through the market, but decisions are still shaped by state policies, mandates, and regulatory oversight on safety, reliability, and the environment.

Virginia’s electricity market is a hybrid system, featuring regulated, vertically integrated utilities such as Dominion Energy, alongside limited retail choice for select customers. These utilities operate under State Corporation Commission oversight and General Assembly laws, which govern rates and resource planning.
",https://www.linkedin.com/feed/update/urn:li:activity:7363929122235981825,08/20/2025,1948,,10.2%,12.6%,1
"Virginia's legacy of innovation continues! In 1957, the atomic energy age began in Ft. Belvoir, VA with America's first commercial nuclear power plant. Today, Virginia is ushering in another era of clean energy with the world's first commercial fusion power plant. From fission to fusion, the world depends on Virginia's energy leadership and innovation. 

Learn more at https://lnkd.in/eKtv2Axg ",https://www.linkedin.com/feed/update/urn:li:activity:7275914280745553922,12/20/2024,1289,894,8.6%,12.5%,1
"At Virginia Energy's Richmond office, the State Energy Office and Administrative teams turn big ideas into real-world results—tackling everything from grid reliability to home energy rebates, workforce development, EV infrastructure, and beyond. Their work powers programs, fuels policy, supports communities, and keeps Virginia’s energy future moving forward.

Interested in joining our team and making an impact? Explore our career opportunities at:
https://lnkd.in/eQZPWUaf

",https://www.linkedin.com/feed/update/urn:li:activity:7358578851196608515,08/05/2025,2236,,10.0%,12.5%,1
"""We need more gas, we need more solar and wind, and we need nuclear, and we are going to lead the nation here."" - Governor Youngkin at the Virginia Energy Summit. With a commitment to natural gas, renewable energy, and nuclear power, Virginia will continue to lead the nation in energy innovation and sustainability. #VirginiaEnergy #AllOfTheAbove #Energy",https://www.linkedin.com/feed/update/urn:li:activity:7237912468235128832,09/06/2024,2492,1393,8.2%,12.2%,1
"From breakthrough technologies to local impact, we’re driving innovation, strengthening communities, and powering Virginia’s future. Catch up on everything that's happening at Virginia Energy with out our June newsletter! https://shr.link/oqttu",https://www.linkedin.com/feed/update/urn:li:activity:7336014182170996737,06/04/2025,415,,9.2%,12.0%,1
"The Virginia Works program, launched in July 2023, unifies over 60 workforce initiatives to address the future workforce needs of a growing Virginia efficiently and effectively. #VirginiaEnergy Deputy Director Julianne Szyper and Daniel Kestner, Virginia Energy's Economic Economic Development Program Manager, discussed the impact these and other initiatives will have on Virginia's energy sector at the Energy Transition and Workforce Summit, hosted by The American Energy Society at Emory & Henry University.",https://www.linkedin.com/feed/update/urn:li:activity:7242623949560238084,09/19/2024,1283,,9.0%,11.8%,1
"Clean energy is built with coal. Virginia produces $2+ billion worth of coal each year, a majority of which is not burned to produce electricity, but is used to manufacture a wide variety of products, like silicon: a crucial component in solar panels.",https://www.linkedin.com/feed/update/urn:li:activity:7309577214449102848,03/23/2025,327,,4.3%,11.6%,1
"Nuclear power is fundamental to a reliable, affordable, and increasingly clean energy future. It delivers 24/7, emissions-free electricity, keeping costs stable, reducing reliance on imports, and strengthening Virginia’s energy security. 

Learn more about nuclear in Virginia at https://lnkd.in/esRN-dEW",https://www.linkedin.com/feed/update/urn:li:activity:7307370181196992512,03/17/2025,414,265,7.5%,11.6%,1
"""To avoid the cost of a delay in advanced nuclear deployment, the industry will need to begin deploying nuclear by 2030,"" according to the U.S. Department of Energy (DOE) "" Virginia is leading the way by exploring new nuclear infrastructure opportunities now, helping to ensure that our increasingly clean energy future doesn't place an unnecessary burden on ratepayers.

More at https://lnkd.in/gbnik7Uz",https://www.linkedin.com/feed/update/urn:li:activity:7310631845212180481,03/26/2025,140,,6.4%,11.4%,1
"""The message from the attendees at the World Nuclear Forum was loud and clear - if we want to meet our sustainability goals and provide enough power to meet demand in our growing economy, nuclear is non-negotiable.""
-Virginia Energy Deputy Director Julianne Szyper

The forum kicked off an incredibly exciting week for energy news. State and federal legislators, technology leaders, and international delegations came together at the conference just days before several landmark announcements from Amazon, Google, Microsoft, and others that they will be investing in SMRs to meet their growing power demands.

https://lnkd.in/ep3j_-Dw
#nuclear #energy #innovation",https://www.linkedin.com/feed/update/urn:li:activity:7253405020623138816,10/19/2024,677,,8.3%,11.4%,1
"Buchanan County’s elk-based ecotourism industry continues to expand thanks to a $2.2 million Virginia Energy #AbandonedMineLand Economic Revitalization (AMLER) grant which will grow the habitat for elk and other native wildlife on land that was once mined for coal. Today’s event highlighted the project's progress and included the donation of a UTV from the Southwest Virginia Sportsmen to the Department of Wildlife Resources further support the team's public safety initiatives. Once completed this project will offer the first of its kind hunting opportunity and other outdoor recreation opportunities. Read more at: https://ow.ly/T6BM50TEBMs

Office of Surface Mining Reclamation and Enforcement ",https://www.linkedin.com/feed/update/urn:li:activity:7248065813671215104,10/04/2024,670,,8.2%,11.3%,1
"Virginia's tourism industry brought in a record $24 billion in 2023. Expanded EV infrastructure in rural communities that benefit most from visitors will create new opportunities for local businesses to thrive and capitalize on the growing number of EV travelers and tourists.

Learn More: https://ow.ly/UVex50Uch97

#EV #ElectricVehicles #transportation #virginiatourism #NewChurch #Capeville #CapeCharles #Norfolk #Suffolk #Petersburg #Salem #Caret #Doswell",https://www.linkedin.com/feed/update/urn:li:activity:7265490474738601984,11/21/2024,332,,6.9%,11.1%,1
"
As American Nuclear Society CEO Craig Piercy points out, Virginia's General Assembly may have missed an opportunity to join a growing number of states—and a national bipartisan consensus—that recognize #nuclear as essential to a reliable and clean energy future. Efforts to modernize the Virginia Clean Economy Act and create a technology-neutral clean energy standard didn't move forward during the session, but Governor Glenn Youngkin’s proposed amendments give the General Assembly another chance to join the rest of the nation in embracing nuclear as part of an increasingly clean energy future.

https://lnkd.in/eEvRndDz",https://www.linkedin.com/feed/update/urn:li:activity:7312528393810464768,03/31/2025,596,,7.4%,11.1%,1
"Virginia was already on the path to cleaner energy long before the Virginia Clean Economy Act (VCEA). By 2020, we had already cut carbon emissions by 50% voluntarily, through responsible planning and innovation.

While other states were just getting started on the low-hanging fruit, Virginia had already made harder cuts early on. Now, with technologies like small modular reactors, we can continue leading the way toward a reliable, cleaner energy future without sacrificing energy security.

""From Ground to Grid"" is a new series by Virginia Energy featuring insights from Director Glenn Davis on the most pressing issues in Virginia’s energy, mining, and geological sectors — from the resources under our feet to the power that fuels our communities. Stay tuned for more!

#fromgroundtogrid #energy #innovation #VCEA #SMR",https://www.linkedin.com/feed/update/urn:li:activity:7365729747189784579,08/20/2025,868,326,7.4%,10.8%,1
"Last week, Virginia Energy’s Transportation Lead & GIS Analyst Edward Cronin joined industry leaders at the Dock 2 Door Coalition's annual event to discuss how Virginia’s alternative fuel and electric vehicle programs are helping improve operations, reduce emissions, and build the workforce driving the future of freight innovation.

On the Carbon-Neutral & Sustainable Freight panel, Ed spoke alongside Sara Graf (Estes Express Lines), Alleyn Harned (Virginia Clean Cities), and Julie Manzari (Dominion Energy), as stakeholders from across the supply chain came together to coordinate strategies for a cleaner, more efficient freight system.",https://www.linkedin.com/feed/update/urn:li:activity:7334186852091940864,05/29/2025,856,,7.0%,10.7%,1
"From funding the world’s first commercial fusion power plant to advancing transformative technologies, the Virginia Clean Energy Innovation Bank is driving growth, creating jobs, and ensuring a sustainable energy future for our Commonwealth.

Learn more about our innovative funding opportunities in the clean power generation and infrastructure sectors at https://lnkd.in/eKtv2Axg",https://www.linkedin.com/feed/update/urn:li:activity:7290088498584317953,01/28/2025,644,1152,5.9%,10.7%,1
"Backed by Virginia Clean Energy Innovation Bank (VCEIB), the world's first commercial #fusionpower plant is coming to #ChesterfieldVA! This groundbreaking project exemplifies VCEIB's mission—driving innovative clean energy solutions that deliver cutting-edge technology, high-paying jobs, and economic growth throughout the Commonwealth.

Learn how VCEIB's strategic investments are positioning Virginia at the forefront of clean energy innovation at https://ow.ly/bsUv50Vh5L2",https://www.linkedin.com/feed/update/urn:li:activity:7306675627267379201,03/15/2025,542,254,5.7%,10.7%,1
"""Small-minded people constantly drive us into the either-or corner. We can either do this or that. I firmly reject it. It’s a both-and moment because we need both, and we can be affordable, reliable, and increasingly clean."" Governor Glenn Youngkin speaking on Virginia's energy future at the Virginia Energy Summit.

#EnergyReliability #VirginiaEnergy #AllOfTheAbove",https://www.linkedin.com/feed/update/urn:li:activity:7241899366951661568,09/17/2024,1601,845,7.4%,10.7%,1
"#FusionEnergy power plants and fission nuclear reactors produce tremendous amounts of energy in very different ways, but both play a critical role in Virginia's reliable, affordable, and increasingly clean energy future. Here's a quick video from the US Department of Energy explaining the difference between the two. https://lnkd.in/eUanxwfX",https://www.linkedin.com/feed/update/urn:li:activity:7281399104675491840,01/04/2025,590,227,6.9%,10.7%,1
"Director Glenn Davis breaks down how Virginia utilities and businesses are partnering on behind-the-meter solutions to deliver clean, reliable energy straight to data centers and manufacturers—without straining the grid or raising costs for ratepayers. Davis shared these insights on a Reuters Events panel featuring global nuclear leaders including Mike King (U.S. Nuclear Regulatory Commission), Anna Bradford (International Atomic Energy Agency (IAEA), Rumina Velshi P.Eng, ICD.D (formerly, Canadian Nuclear Safety Commission – Commission canadienne de sûreté nucléaire), and Steve Catron (Certrec).

#SMRAR #SMRAR2025 #SMR #BehindTheMeter #EnergySecurity #AllOfTheAbove #energy #innovation",https://www.linkedin.com/feed/update/urn:li:activity:7330925375880896513,05/20/2025,994,488,6.4%,10.5%,1
"Earlier this week, sixth graders across Southwest Virginia explored real-world science and career paths with Virginia Energy geology and mining experts at The University of Virginia's College at Wise STEM-H Day event. Our team is working hard to inspire future generations of leaders in environmental stewardship!",https://www.linkedin.com/feed/update/urn:li:activity:7258236664999809025,11/01/2024,316,,8.2%,10.4%,1
"‘Virginia has made extraordinary progress in becoming increasingly clean over the last 20 years, and at the heart of it has been natural gas."" - Governor Glenn Youngkin at the Virginia Energy Summit. Meeting our energy needs requires an all-of-the-above strategy that embraces a variety of solutions that keep generation up, prices down, and our economy moving forward.",https://www.linkedin.com/feed/update/urn:li:activity:7242895322685870080,09/20/2024,727,330,4.8%,10.2%,1
"""No matter the energy debate, solar, wind, nuclear, or gas, one thing is clear: when Virginians flip the switch, they expect the lights to come on."" #VirginiaEnergy Director Glenn Davis on the importance of reliable energy.  #EnergyReliability",https://www.linkedin.com/feed/update/urn:li:activity:7238939810533429248,09/09/2024,1309,660,6.6%,10.1%,1
"Check out our April newsletter for all the latest updates at	https://conta.cc/3FQVvpe  and sign up for email alerts to receive exclusive insights on our programs, activities, and successes at https://ow.ly/SgXF50Upkrz",https://www.linkedin.com/feed/update/urn:li:activity:7313609712791400448,04/03/2025,100,,7.0%,10.0%,1
